Attraktivität,Durchschaubarkeit,Effizienz,Steuerbarkeit,Stimulation,Originalität
"1,5",1,"1,5","0,5",2,"1,75"
"0,83","0,25",1,"0,75",1,"0,75"
"1,33","1,75","1,5","1,75","1,25","0,75"
"-0,33",1,"0,75","1,25","-0,5",-1
1,"2,25",2,"1,5","0,75","0,75"
"1,33","2,5","1,25","1,5","1,5",1
"1,67","1,25",2,"1,5","1,75",2
"1,33","1,75","1,5","1,75","1,75","1,75"
"1,17","2,25","1,75","1,25",1,"2,25"
"1,33","2,25","1,25",2,"0,5",0
"2,33","2,5","2,5","2,5","2,25","2,75"
"1,67",1,"1,5",2,2,"2,25"
"2,67",3,3,3,2,2
"1,33","2,25","1,5","1,25","1,75","1,25"
"1,5",1,"1,5","0,75","1,5","1,75"
"1,67","1,25","1,5",2,"1,5","1,25"
"1,33","1,5",2,"1,5","1,5","1,25"
"1,17",2,"1,5",1,2,"0,75"
"1,67",1,"1,5","1,5","1,5","0,5"
"1,17","1,75","1,5",1,"1,75","1,5"
"1,33","1,75","2,5","1,25",0,"1,75"